Grant ID & Element,Grant Name,Sponsor,County,State,Grant Amount,Year Approved,Year Completed,Type
1 - XXX,STATE OUTDOOR RECREATION PLAN,DEPT. OF NATURAL RESOURCES,PLANNING,MA,23926.27,1965,1966,Planning
5 - XXX,WINDSOR LAKE BEACH,CITY OF NORTH ADAMS,BERKSHIRE,MA,7734.78,1966,1971,Development
12 - XXX,BASHBISH FALLS STATE FOREST,DEPT. OF NATURAL RESOURCES,BERKSHIRE,MA,50000.00,1966,1968,Acquisition
6 - XXX,BUTTONWOOD PARK,CITY OF NEW BEDFORD,BRISTOL,MA,3000.00,1966,1967,Development
14 - XXX,MT. SUGARLOAF STATE RESERVATION,DEPT. OF NATURAL RESOURCES,FRANKLIN,MA,31738.71,1966,1968,Development
7 - XXX,QUABBIN FISH HATCHERY,DIV. OF FISHERIES & GAME,HAMPSHIRE,MA,30000.00,1966,1969,Development
2 - XXX,HOPKINTON STATE PARK,DEPT. OF NATURAL RESOURCES,MIDDLESEX,MA,21950.00,1966,1969,Development
8 - XXX,BLUE HILLS RESERVATION,DEPT. OF NATURAL RESOURCES,NORFOLK,MA,2809.45,1966,1969,Development
10 - XXX,JOHN L. KELLY ATHELETIC FIELD,TOWN OF MILTON,NORFOLK,MA,2000.00,1966,1969,Development
3 - XXX,WHALOM LAKE,DEPT. OF NATURAL RESOURCES,WORCESTER,MA,775.43,1966,1967,Development
16 - XXX,DANVERS RIVER BOATING ACCESS,DEPT. OF NATURAL RESOURCES,ESSEX,MA,23265.25,1967,1968,Development
15 - XXX,MT. TOM STATE RESERVATION,DEPT. OF NATURAL RESOURCES,HAMPDEN,MA,42177.67,1967,1970,Development
25 - XXX,BUTTONWOOD PARK,CITY OF NEW BEDFORD,BRISTOL,MA,100302.25,1968,1971,Development
17 - XXX,SCOTT FIELD PARK SWIMMING POOL,DEPT. OF PUBLIC WORKS,HAMPDEN,MA,121341.23,1968,1969,Development
18 - XXX,WESTFIELD SWIMMING POOL,DEPT. OF PUBLIC WORKS,HAMPDEN,MA,138809.69,1968,1969,Development
33 - XXX,LUDLOW SWIMMING POOL,DEPT. OF PUBLIC WORKS,HAMPDEN,MA,127021.48,1968,1971,Development
30 - XXX,SOUTH HADLEY SWIMMING POOL,DEPT. OF PUBLIC WORKS,HAMPSHIRE,MA,120602.05,1968,1969,Development
19 - XXX,HOPKINTON STATE PARK,DEPT. OF NATURAL RESOURCES,MIDDLESEX,MA,334214.61,1968,1972,Development
20 - XXX,TOWLE PROPERTY,TOWN OF CARLISLE,MIDDLESEX,MA,84270.00,1968,1970,Acquisition
28 - XXX,BEAVER BROOK RESERVATION,METROPOLITAN DIST. COMM.,MIDDLESEX,MA,148136.63,1968,1970,Development
29 - XXX,MCLEAN FARM,BELMONT CONSERVATION COMM.,MIDDLESEX,MA,277900.00,1968,1970,Acquisition
22 - XXX,BROOKLINE- LONGWOOD PLAYGROUND,TOWN OF BROOKLINE,NORFOLK,MA,61569.00,1968,1970,Development
24 - XXX,BLUE HILLS RESERVATION,METROPOLITAN DIST. COMM.,NORFOLK,MA,342601.60,1968,1970,Development
31 - XXX,BOSTON PORTABLE SWIMMING POOLS,CITY OF BOSTON,SUFFOLK,MA,26341.44,1968,1969,Development
32 - XXX,BOSTON PORTABLE SWIMMING POOLS,CITY OF BOSTON,SUFFOLK,MA,26060.19,1968,1969,Development
34 - XXX,CASSIDY PLAYGROUND,CITY OF BOSTON,SUFFOLK,MA,38571.24,1968,1970,Development
35 - XXX,AMERICAN LEGION PLAYGROUND,CITY OF BOSTON,SUFFOLK,MA,31756.64,1968,1970,Development
36 - XXX,LEE PLAYGROUND,CITY OF BOSTON,SUFFOLK,MA,33478.44,1968,1970,Development
23 - XXX,WORCESTER SWIMMING POOL,DEPT. OF PUBLIC WORKS,WORCESTER,MA,134906.11,1968,1969,Development
26 - XXX,SOUTH FITCHBURG SWIMMING POOL,DEPT. OF PUBLIC WORKS,WORCESTER,MA,116718.37,1968,1970,Development
27 - XXX,MILFORD SWIMMING POOL,DEPT. OF NATURAL RESOURCES,WORCESTER,MA,142603.62,1968,1970,Development
37 - XXX,WINDSOR LAKE BEACH,CITY OF NORTH ADAMS,BERKSHIRE,MA,118197.65,1969,1972,Development
40 - XXX,POST FARM ACQUISITION,TOWN OF LENOX,BERKSHIRE,MA,20000.00,1969,1971,Acquisition
41 - XXX,BRATTLEBROOK FARM ACQUISITION,CITY OF PITTSFIELD,BERKSHIRE,MA,74000.00,1969,1971,Acquisition
44 - XXX,TENNEY LAND ACQUISITION,DEPT. OF NATURAL RESOURCES,BERKSHIRE,MA,20000.00,1969,1972,Acquisition
50 - XXX,DANVERS LANDING,TOWN OF DANVERS,ESSEX,MA,49000.00,1969,1971,Acquisition
42 - XXX,KINGSLEY & LAMBERT BEACH ACQ.,DEPT. OF NATURAL RESOURCES,HAMPDEN,MA,162500.00,1969,1970,Acquisition
45 - XXX,MT. MISERY ACQUISITION,TOWN OF LINCOLN,MIDDLESEX,MA,873650.00,1969,1972,Acquisition
47 - XXX,DI PIETRO ACQUISITION,DEPT. OF NATURAL RESOURCES,MIDDLESEX,MA,17000.00,1969,1970,Acquisition
49 - XXX,COLD SPRINGS LAND ACQUISITION,CITY OF NEWTON,MIDDLESEX,MA,53670.00,1969,1972,Acquisition
51 - XXX,FISKE-HALL,DEPT. OF NATURAL RESOURCES,MIDDLESEX,MA,322500.00,1969,1971,Acquisition
39 - XXX,KELLY FIELD REDEVELOPMENT,TOWN OF MILTON,NORFOLK,MA,31645.84,1969,1972,Development
46 - XXX,COMPREHENSIVE OUTDOOR REC. PLAN,DEPT. OF NATURAL RESOURCES,PLANNING,MA,139324.67,1969,1972,Planning
48 - XXX,ROCKY GUTTER ACQUISITION,DIV. OF FISHERIES & GAME,PLYMOUTH,MA,100000.00,1969,1970,Acquisition
38 - XXX,OAK ISLAND ACQUISITION,TOWN OF SHREWSBURY,WORCESTER,MA,26500.00,1969,1972,Acquisition
57 - XXX,HAWKS NEST ACQ.,DEPT. OF NATURAL RESOURCES,BARNSTABLE,MA,170250.00,1970,1973,Acquisition
60 - XXX,ONOTA LAKE ACQUISITION,CITY OF PITTSFIELD,BERKSHIRE,MA,137500.00,1970,1973,Acquisition
59 - XXX,GREENLEAF PARK,CITY OF SPRINGFIELD,HAMPDEN,MA,24854.35,1970,1973,Development
53 - XXX,SWIFT RIVER,DEPT. OF NATURAL RESOURCES,HAMPSHIRE,MA,125000.00,1970,1972,Acquisition
55 - XXX,MILL RIVER ACQ.,TOWN OF AMHERST,HAMPSHIRE,MA,46517.25,1970,1973,Acquisition
54 - XXX,LEHAN FARM,STOUGHTON CONSERVATION COMM.,NORFOLK,MA,27500.00,1970,1972,Acquisition
56 - XXX,WOMPATUCK STATE PARK,DEPT. OF ENVIRONMENTAL MANAGEMENT,PLYMOUTH,MA,1948285.87,1970,1974,Development
64 - XXX,SCUSSET BEACH,DEPT. OF ENVIRONMENTAL MANAGEMENT,BARNSTABLE,MA,472450.97,1971,1978,Development
74 - XXX,GREAT POND ACQUISITION,TOWN OF EASTHAM,BARNSTABLE,MA,118000.00,1971,1973,Acquisition
77 - XXX,SANDY NECK ACQUISITION,SANDWICH CONSERVATION COMM.,BARNSTABLE,MA,61200.99,1971,1972,Acquisition
66 - XXX,HORSENECK BEACH DEVELOPMENT,DEPT. OF FORESTS & PARKS,BRISTOL,MA,285324.05,1971,1974,Development
69 - XXX,ACUSHNET CEDAR SWAMP ACQ,DEPT. OF NATURAL RESOURCES,BRISTOL,MA,179610.00,1971,1973,Acquisition
75 - XXX,OAKES AMES ESTATE ACQUISITION,DEPT. OF NATURAL RESOURCES,BRISTOL,MA,600000.00,1971,1974,Acquisition
58 - XXX,FOREST RIVER PARK SWIMMING POOL,CITY OF SALEM,ESSEX,MA,182231.99,1971,1973,Development
71 - XXX,LUFKINS BROOK ACQUISITION,TOWN OF GEORGETOWN,ESSEX,MA,93200.00,1971,1974,Acquisition
80 - XXX,DUFRESNE RECREATION AREA,TOWN OF GRANBY,HAMPSHIRE,MA,50000.00,1971,1973,Acquisition
61 - XXX,OAK HILL ACQUISITION,TOWN OF LITTLETON,MIDDLESEX,MA,33000.00,1971,1974,Acquisition
67 - XXX,FOSS FARM ACQUISITION,TOWN OF CARLISLE,MIDDLESEX,MA,50312.00,1971,1972,Acquisition
81 - XXX,UNICORN ACQ,TOWN OF STONEHAM,MIDDLESEX,MA,252500.00,1971,1972,Acquisition
82 - XXX,NIPPER MAHER PARK,CITY OF WALTHAM,MIDDLESEX,MA,47623.79,1971,1972,Development
88 - XXX,MACOMBER ESTATE ACQUISITION,FRAMINGHAM CONSERVATION COMM.,MIDDLESEX,MA,158950.00,1971,1974,Acquisition
63 - XXX,DRAPER ESTATE ACQUISITION,TOWN OF CANTON,NORFOLK,MA,132275.00,1971,1973,Acquisition
70 - XXX,KENT STREET PLAYGROUND,TOWN OF BROOKLINE,NORFOLK,MA,18180.14,1971,1973,Development
72 - XXX,LAWTON PLAYGROUND,TOWN OF BROOKLINE,NORFOLK,MA,29843.83,1971,1973,Development
68 - XXX,CHARGE POND DEVELOPMENT,DEPT. OF FORESTS & PARKS,PLYMOUTH,MA,426326.02,1971,1975,Development
65 - XXX,BOSTON HARBOR ISLANDS,DEPT. OF NATURAL RESOURCES,SUFFOLK,MA,388767.99,1971,1978,Combination
76 - XXX,MYRTLE STREET PLAYGROUND,CITY OF BOSTON,SUFFOLK,MA,22692.25,1971,1974,Development
79 - XXX,SWIMMING POOL-LEOMINSTER,DEPT. OF NATURAL RESOURCES,WORCESTER,MA,176892.82,1971,1972,Development
96 - XXX,LAUREL LAKE RECREATIONAL AREA,TOWNS OF LEE & LENOX,BERKSHIRE,MA,50000.00,1972,1973,Acquisition
83 - XXX,ABBOTT GRIFFIN & TURNER PLAYGROUNDS,CITY OF FALL RIVER,BRISTOL,MA,42000.00,1972,1974,Development
89 - XXX,ASHLEY PARK DEVELOPMENT,CITY OF NEW BEDFORD,BRISTOL,MA,75153.77,1972,1975,Development
90 - XXX,ATTLEBORO SWIMMING POOL,DEPT. OF NATURAL RESOURCES,BRISTOL,MA,187500.00,1972,1974,Development
100 - XXX,MASSASOIT STATE PARK,DEPT. OF NATURAL RESOURCES,BRISTOL,MA,391960.15,1972,1977,Development
112 - XXX,FALL RIVER SWIMMING POOL,DEPT. OF NATURAL RESOURCES,BRISTOL,MA,226666.32,1972,1974,Development
104 - XXX,SANDY BEACH ACQUISITION,TOWN OF DANVERS,ESSEX,MA,38101.30,1972,1973,Acquisition
109 - XXX,LAWRENCE SWIMMING POOL,DEPT. OF NATURAL RESOURCES,ESSEX,MA,213706.50,1972,1974,Development
98 - XXX,CHICOPEE SWIMMING POOL,DEPT. OF NATURAL RESOURCES,HAMPDEN,MA,227420.52,1972,1973,Development
101 - XXX,SPRINGFIELD SWIMMING POOL,DEPT. OF NATURAL RESOURCES,HAMPDEN,MA,221546.14,1972,1974,Development
95 - XXX,NORTH AMHERST REC. AREA,TOWN OF AMHERST,HAMPSHIRE,MA,296732.80,1972,1975,Development
85 - XXX,GREAT HILL ACQ.,ACTON CONSERVATION COMM.,MIDDLESEX,MA,134355.00,1972,1975,Acquisition
94 - XXX,PROSPECT HILL PARK,CITY OF WALTHAM,MIDDLESEX,MA,149607.30,1972,1979,Development
103 - XXX,MELROSE SWIMMING POOL,METROPOLITAN DIST. COMM.,MIDDLESEX,MA,250000.00,1972,1974,Development
107 - XXX,LOWELL SWIMMING POOL,DEPT. OF NATURAL RESOURCES,MIDDLESEX,MA,217144.47,1972,1974,Development
108 - XXX,MCGRANN & SACRAMONE PLAYGROUNDS,CITY OF EVERETT,MIDDLESEX,MA,115282.07,1972,1975,Development
129 - XXX,BARE MEADOW BROOK,READING CONSERVATION COMM.,MIDDLESEX,MA,26743.53,1972,1973,Acquisition
78 - XXX,ROSEMARY LAKE RECLAMATION,TOWN OF NEEDHAM,NORFOLK,MA,144038.42,1972,1974,Development
106 - XXX,KELLY FIELD COURT REDEVELOPMENTS,TOWN OF MILTON,NORFOLK,MA,14222.93,1972,1974,Development
110 - XXX,PIERCE PLAYGROUND,TOWN OF BROOKLINE,NORFOLK,MA,46488.02,1972,1975,Development
111 - XXX,HOLBROOK PLAYGROUND - LIGHTING,TOWN OF HOLBROOK,NORFOLK,MA,47765.64,1972,1974,Development
116 - XXX,CONSERVATION LANDS CONSOLIDATION I,CITY OF STOUGHTON,NORFOLK,MA,214615.40,1972,1975,Acquisition
117 - XXX,BROCKTON SWIMMING POOL,DEPT. OF NATURAL RESOURCES,PLYMOUTH,MA,220423.10,1972,1974,Development
91 - XXX,JOHN NOYES PLAYGROUND,CITY OF BOSTON,SUFFOLK,MA,67916.76,1972,1975,Development
92 - XXX,BROPHY PARK,CITY OF BOSTON,SUFFOLK,MA,13100.00,1972,1974,Development
99 - XXX,CHARLES RIVER TENNIS COURTS,SUFFOLK COUNTY,SUFFOLK,MA,72867.26,1972,1974,Development
102 - XXX,LITTLE MYSTIC ACCESS,DEPT. OF NATURAL RESOURCES,SUFFOLK,MA,81996.83,1972,1974,Development
113 - XXX,PLAY EQUIPMENT COMPLEXES,CITY OF BOSTON,SUFFOLK,MA,150500.00,1972,1975,Development
115 - XXX,MCCONNELL PARK,CITY OF BOSTON,SUFFOLK,MA,62481.35,1972,1974,Development
86 - XXX,SWIMMING POOL SOUTHBRIDGE,DEPT. OF NATURAL RESOURCES,WORCESTER,MA,184647.65,1972,1975,Development
