Grant ID & Element,Grant Name,Sponsor,County,State,Grant Amount,Year Approved,Year Completed,Type
1 - XXX,LEVI POND,DEPT. OF FISH & GAME,CALEDONIA,VT,"$7,827.50 ",1965,1966,Acquisition
2 - XXX,JEWETT POND,DEPT. OF FISH & GAME,CALEDONIA,VT,"$7,575.00 ",1965,1967,Acquisition
6 - XXX,BLACK RIVER STREAMBANK ACQUISITION,DEPT. OF ENVIRONMENTAL CONSERVATION,ORLEANS,VT,"$19,691.31 ",1965,1972,Acquisition
11 - XXX,BRISTOL MEMORIAL PARK,TOWN OF BRISTOL,ADDISON,VT,"$1,722.95 ",1966,1971,Development
18 - XXX,BUTTON POINT,"DEPT. OF FORESTS, PARKS & RECREATION",ADDISON,VT,"$28,280.00 ",1966,1967,Acquisition
23 - XXX,VERGENNES PARK SWIMMING POOL,CITY OF VERGENNES,ADDISON,VT,"$32,629.31 ",1966,1967,Development
31 - XXX,WEYBRIDGE CAVE,"DEPT. OF FORESTS, PARKS & RECREATION",ADDISON,VT,"$9,393.00 ",1966,1967,Acquisition
28 - XXX,BATTENKILL RIVER ACQ.,DEPT. OF FISH & GAME,BENNINGTON,VT,"$4,942.94 ",1966,1972,Acquisition
4 - XXX,GROTON POND,DEPT. OF WATER RESOURCES,CALEDONIA,VT,"$21,965.43 ",1966,1966,Combination
10 - XXX,MACKVILLE POND,TOWN OF HARDWICK,CALEDONIA,VT,"$1,182.03 ",1966,1968,Development
34 - XXX,JEWETT POND EXPANSION,"DEPT. OF FORESTS, PARKS & RECREATION",CALEDONIA,VT,"$28,484.53 ",1966,1973,Acquisition
12 - XXX,BURLINGTON MUNICIPAL PIER,CITY OF BURLINGTON,CHITTENDEN,VT,"$5,353.00 ",1966,1968,Acquisition
24 - XXX,BURLINGTON FAMILY CAMPSITE,CITY OF BURLINGTON,CHITTENDEN,VT,"$9,090.00 ",1966,1967,Development
32 - XXX,PERKINS MUNICIPAL PIER,CITY OF BURLINGTON,CHITTENDEN,VT,"$27,662.13 ",1966,1967,Development
9 - XXX,FAIRFIELD SWAMP,DEPT. OF FISH & GAME,FRANKLIN,VT,$674.00 ,1966,1967,Combination
17 - XXX,BURTON ISLAND,"DEPT. OF FORESTS, PARKS & RECREATION",FRANKLIN,VT,"$29,042.17 ",1966,1966,Development
14 - XXX,LAMOILLE RIVER FISHING ACCESS,DEPT. OF FISH & GAME,LAMOILLE,VT,"$20,491.89 ",1966,1972,Acquisition
19 - XXX,MT. MANSFIELD STATE SKI SHELTER,"DEPT. OF FORESTS, PARKS & RECREATION",LAMOILLE,VT,"$82,863.20 ",1966,1967,Development
20 - XXX,CAMPGROUND EXPANSION,"DEPT. OF FORESTS, PARKS & RECREATION",MULTI-COUNTY,VT,"$336,681.80 ",1966,1968,Development
26 - XXX,OTTER CREEK STREAM BANK ACCESS,DEPT. OF FISH & GAME,MULTI-COUNTY,VT,"$94,313.14 ",1966,1984,Acquisition
30 - XXX,WHITE RIVER STREAMBANK ACCESS,DEPT. OF FISH & GAME,ORANGE,VT,"$10,337.63 ",1966,1972,Acquisition
3 - XXX,CRYSTAL LAKE DAM,DEPT. OF WATER RESOURCES,ORLEANS,VT,"$16,552.37 ",1966,1966,Combination
5 - XXX,WILLOUGHBY RIVER FISHING ACCESS,DEPT. OF FISH & GAME,ORLEANS,VT,"$10,425.22 ",1966,1967,Acquisition
13 - XXX,PROUTY BEACH DEVELOPMENT,CITY OF NEWPORT,ORLEANS,VT,"$57,129.27 ",1966,1968,Development
33 - XXX,STREAMBANK ACCESS,DEPT. OF FISH & GAME,ORLEANS,VT,"$11,267.05 ",1966,1970,Development
16 - XXX,KILLINGTON STATE SKI SHELTER,"DEPT. OF FORESTS, PARKS & RECREATION",RUTLAND,VT,"$80,343.68 ",1966,1967,Development
21 - XXX,PITTSFORD RECREATION PARK,TOWN OF PITTSFORD,RUTLAND,VT,"$4,137.97 ",1966,1967,Development
22 - XXX,WEST RUTLAND BEACH,TOWN OF WEST RUTLAND,RUTLAND,VT,"$36,244.30 ",1966,1972,Combination
27 - XXX,OTTAUQUECHEE RIVER,DEPT. OF FISH & GAME,WINDSOR,VT,"$7,120.75 ",1966,1972,Acquisition
43 - XXX,VERGENNES POOL BATHHOUSE,CITY OF VERGENNES,ADDISON,VT,"$10,215.75 ",1967,1967,Development
47 - XXX,WOODFORD CAMPGROUND,"DEPT. OF FORESTS, PARKS & RECREATION",BENNINGTON,VT,"$42,802.79 ",1967,1969,Development
55 - XXX,SEYON TROUT RANCH,"DEPT. OF FORESTS, PARKS & RECREATION",CALEDONIA,VT,"$126,250.00 ",1967,1967,Acquisition
56 - XXX,CAMEL'S HUMP ACQUISITION,"DEPT. OF FORESTS, PARKS & RECREATION",CHITTENDEN,VT,"$25,755.00 ",1967,1967,Acquisition
59 - XXX,MILES POND,DEPT. OF WATER RESOURCES,ESSEX,VT,"$8,585.00 ",1967,1968,Acquisition
49 - XXX,HATHAWAY POINT,"DEPT. OF FORESTS, PARKS & RECREATION",FRANKLIN,VT,"$50,500.00 ",1967,1969,Acquisition
58 - XXX,ST. ALBANS PARK DEVELOPMENT,CITY OF ST. ALBANS,FRANKLIN,VT,"$5,725.22 ",1967,1970,Development
52 - XXX,GRAND ISLE STATE PARK,"DEPT. OF FORESTS, PARKS & RECREATION",GRAND ISLE,VT,"$24,631.88 ",1967,1968,Development
38 - XXX,WOLCOTT POND,DEPT. OF WATER RESOURCES,LAMOILLE,VT,"$45,805.07 ",1967,1969,Combination
51 - XXX,MT. MANSFIELD SKI AREA,"DEPT. OF FORESTS, PARKS & RECREATION",LAMOILLE,VT,"$29,048.04 ",1967,1969,Development
40 - XXX,HOSMER PONDS,DEPT. OF WATER RESOURCES,ORLEANS,VT,"$3,535.00 ",1967,1968,Acquisition
54 - XXX,PAGEANT PARK,VILLAGE OF BARTON,ORLEANS,VT,"$5,842.66 ",1967,1968,Development
42 - XXX,PUTNAM STATE FOREST,"DEPT. OF FORESTS, PARKS & RECREATION",WASHINGTON,VT,"$20,200.00 ",1967,1967,Acquisition
36 - XXX,CONNECTICUT RIVER,DEPT. OF FISH & GAME,WINDHAM,VT,"$10,100.00 ",1967,1967,Acquisition
41 - XXX,QUEECHEE GORGE ACQ.,"DEPT. OF FORESTS, PARKS & RECREATION",WINDSOR,VT,"$57,065.00 ",1967,1967,Acquisition
44 - XXX,SILVER LAKE,DEPT. OF NATURAL RESOURCES,WINDSOR,VT,"$19,568.58 ",1967,1969,Development
45 - XXX,CHESTER SWIMMING POOL,TOWN OF CHESTER,WINDSOR,VT,"$18,298.30 ",1967,1967,Development
50 - XXX,SILVER LAKE STATEPARK,"DEPT. OF FORESTS, PARKS & RECREATION",WINDSOR,VT,"$12,477.25 ",1967,1969,Development
65 - XXX,CHIMNEY POINT,"DEPT. OF FORESTS, PARKS & RECREATION",ADDISON,VT,"$20,200.00 ",1968,1968,Acquisition
69 - XXX,MIDDLEBURY RECREATION AREA,TOWN OF MIDDLEBURY,ADDISON,VT,"$55,969.22 ",1968,1973,Development
70 - XXX,SHIN ISLAND,"DEPT. OF FORESTS, PARKS & RECREATION",ADDISON,VT,"$2,550.00 ",1968,1969,Acquisition
71 - XXX,WILLOUGHBY LAKE,"DEPT. OF FORESTS, PARKS & RECREATION",CALEDONIA,VT,"$153,000.00 ",1968,1969,Acquisition
64 - XXX,MILES POND,DEPT. OF WATER RESOURCES,CHITTENDEN,VT,"$40,306.41 ",1968,1970,Development
66 - XXX,COLCHESTER ACQ.,TOWN OF COLCHESTER,CHITTENDEN,VT,"$73,223.18 ",1968,1968,Acquisition
68 - XXX,CAMEL'S HUMP STATE PARK,"DEPT. OF FORESTS, PARKS & RECREATION",CHITTENDEN,VT,"$51,000.00 ",1968,1968,Acquisition
74 - XXX,LAMOILLE RIVER ACCESS,DEPT. OF FISH & GAME,LAMOILLE,VT,$255.00 ,1968,1969,Acquisition
61 - XXX,LITTLE HOSMER POND,DEPT. OF WATER RESOURCES,ORLEANS,VT,"$19,322.04 ",1968,1970,Development
48 - XXX,LAKE ST. CATHERINE STATE PARK,"DEPT. OF FORESTS, PARKS & RECREATION",RUTLAND,VT,"$108,321.99 ",1968,1970,Development
72 - XXX,HALF MOON POND,"DEPT. OF FORESTS, PARKS & RECREATION",RUTLAND,VT,"$5,100.00 ",1968,1969,Acquisition
63 - XXX,HARTLAND MULTI-PURPOSE AREA,DEPT. OF FISH & GAME,WINDSOR,VT,"$2,525.00 ",1968,1968,Acquisition
75 - XXX,ADAMS RESERVOIR,DEPT. OF WATER RESOURCES,BENNINGTON,VT,"$13,079.27 ",1969,1970,Development
86 - XXX,BENNINGTON PARK DEVELOPMENT,TOWN OF BENNINGTON,BENNINGTON,VT,"$73,767.57 ",1969,1970,Development
79 - XXX,BLAKE POND ACQUISITION,"DEPT. OF FORESTS, PARKS & RECREATION",CALEDONIA,VT,"$12,750.00 ",1969,1969,Acquisition
80 - XXX,LYNDONVILLE PARK ACQUISITION,TOWN OF LYNDONVILLE,CALEDONIA,VT,"$5,916.00 ",1969,1970,Acquisition
57 - XXX,ETHAN ALLEN AND SOUTH PARK,CITY OF BURLINGTON,CHITTENDEN,VT,"$49,706.06 ",1969,1970,Development
77 - XXX,TRAIL CONSTRUCTION,"DEPT. OF FORESTS, PARKS & RECREATION",ESSEX,VT,"$7,803.00 ",1969,1970,Development
78 - XXX,ISLE LAMOTTE LAKE-CHAMPLAIN ACCE,DEPT. OF FISH & GAME,GRAND ISLE,VT,"$15,810.00 ",1969,1969,Acquisition
7 - XXX,BARTON R. FISHING ACCESS,DEPT. OF FISH & GAME,ORLEANS,VT,"$14,454.48 ",1969,1972,Acquisition
35 - XXX,BARTON RIVER,DEPT. OF FISH & GAME,ORLEANS,VT,"$23,033.81 ",1969,1972,Acquisition
37 - XXX,WILLOUGHBY & BROWNINGTON RIVER ACQ.,DEPT. OF FISH & GAME,ORLEANS,VT,$176.75 ,1969,1972,Acquisition
82 - XXX,CRYSTAL LAKE ACQUISITION,"DEPT. OF FORESTS, PARKS & RECREATION",ORLEANS,VT,"$1,020.00 ",1969,1970,Acquisition
83 - XXX,WILLOUGHBY LAKE SHORELINE ACQUI.,"DEPT. OF FORESTS, PARKS & RECREATION",ORLEANS,VT,"$38,250.00 ",1969,1970,Acquisition
81 - XXX,LAKE BOMOSEEN DAM ACQUISITION,DEPT. OF WATER RESOURCES,RUTLAND,VT,"$7,650.00 ",1969,1970,Acquisition
85 - XXX,RUTLAND SWIMMING POOL,CITY OF RUTLAND,RUTLAND,VT,"$108,701.57 ",1969,1970,Development
29 - XXX,WEST RIVER,DEPT. OF FISH & GAME,WINDHAM,VT,$505.00 ,1969,1972,Acquisition
76 - XXX,GILE MOUNTAIN,TOWN OF NORWICH,WINDSOR,VT,"$7,650.00 ",1969,1969,Acquisition
99 - XXX,BUTTON BAY STATE PICNIC AREA,"DEPT. OF FORESTS, PARKS & RECREATION",ADDISON,VT,"$42,605.05 ",1970,1974,Development
91 - XXX,HATFIELD-GROTON STATE FOREST,"DEPT. OF FORESTS, PARKS & RECREATION",CALEDONIA,VT,"$3,952.88 ",1970,1970,Acquisition
92 - XXX,HARVEY'S LAKE DAM CONSTRUCTION,TOWN OF BARNET,CALEDONIA,VT,"$31,621.29 ",1970,1971,Development
103 - XXX,DUCK POND,DEPT. OF NATURAL RESOURCES,CALEDONIA,VT,"$14,002.20 ",1970,1971,Acquisition
87 - XXX,UNDERHILL GROUP CAMPING AREA,"DEPT. OF FORESTS, PARKS & RECREATION",CHITTENDEN,VT,"$9,392.85 ",1970,1974,Development
89 - XXX,SANDBAR STATE PARK EXPANSION,"DEPT. OF FORESTS, PARKS & RECREATION",CHITTENDEN,VT,"$115,490.21 ",1970,1974,Development
93 - XXX,CLIFFSIDE ACQ.,CITY OF BURLINGTON,CHITTENDEN,VT,"$119,278.00 ",1970,1971,Acquisition
94 - XXX,LAKESHORE ACQUISITION,TOWN OF CHARLOTTE,CHITTENDEN,VT,"$20,744.00 ",1970,1971,Acquisition
95 - XXX,SOUTH BURLINGTON RED ROCKS ACQ.,CITY OF SOUTH BURLINGTON,CHITTENDEN,VT,"$207,440.00 ",1970,1971,Acquisition
88 - XXX,BURTON ISLAND STATE PARK,"DEPT. OF FORESTS, PARKS & RECREATION",FRANKLIN,VT,"$18,607.94 ",1970,1973,Development
90 - XXX,LAKE CARMI DAM,DEPT. OF NATURAL RESOURCES,FRANKLIN,VT,"$18,592.31 ",1970,1972,Development
97 - XXX,NORTH HERO ACQ.,"DEPT. OF FORESTS, PARKS & RECREATION",GRAND ISLE,VT,"$47,250.00 ",1970,1971,Acquisition
98 - XXX,CAMEL'S HUMP STATE PARK ADDITION,"DEPT. OF FORESTS, PARKS & RECREATION",MULTI-COUNTY,VT,"$32,308.78 ",1970,1971,Acquisition
102 - XXX,CAMEL'S HUMP STATE PARK ADDITION,"DEPT. OF FORESTS, PARKS & RECREATION",MULTI-COUNTY,VT,"$393,750.00 ",1970,1971,Acquisition
96 - XXX,RANDOLPH REC. AREA IMPROVEMENTS,TOWN OF RANDOLPH,ORANGE,VT,"$30,206.02 ",1970,1971,Development
100 - XXX,STATE PARK IMPROVEMENTS,"DEPT. OF FORESTS, PARKS & RECREATION",WASHINGTON,VT,"$27,060.43 ",1970,1972,Development
101 - XXX,WATERBURY RECREATION AREA,TOWN OF WATERBURY,WASHINGTON,VT,"$20,134.64 ",1970,1972,Development
109 - XXX,D.A.R. STATE PARK,STATE OF VERMONT,ADDISON,VT,"$3,937.50 ",1971,1972,Acquisition
108 - XXX,MANCHESTER ACQUISITION,TOWN OF MANCHESTER,BENNINGTON,VT,"$50,000.00 ",1971,1972,Acquisition
118 - XXX,TOWN OF BENNINGTON,TOWN OF BENNINGTON,BENNINGTON,VT,"$15,000.00 ",1971,1972,Acquisition
123 - XXX,WOODFORD STATE PARK CAMPING AREA,"DEPT. OF FORESTS, PARKS & RECREATION",BENNINGTON,VT,"$15,782.26 ",1971,1972,Development
110 - XXX,HARVEY'S LAKE ACQUISITION,TOWN OF BARNET,CALEDONIA,VT,"$22,500.00 ",1971,1972,Acquisition
130 - XXX,STEAM MILL BROOK TRACT ACQ,DEPT. OF FISH & GAME,CALEDONIA,VT,"$375,681.07 ",1971,1974,Acquisition
105 - XXX,WINOOSKI HOCKEY RINK,CITY OF WINOOSKI,CHITTENDEN,VT,"$1,500.00 ",1971,1972,Development
116 - XXX,BURLINGTON - CLIFFSIDE PARK DEV.,CITY OF BURLINGTON,CHITTENDEN,VT,"$22,500.00 ",1971,1972,Development
119 - XXX,RED ROCKS DEVELOPMENT,CITY OF SOUTH BURLINGTON,CHITTENDEN,VT,"$106,635.06 ",1971,1975,Development
126 - XXX,COLCHESTER BAYSIDE PARK DEV,TOWN OF COLCHESTER,CHITTENDEN,VT,"$16,177.50 ",1971,1974,Development
127 - XXX,WINOOSKI SWIMMING POOL,CITY OF WINOOSKI,CHITTENDEN,VT,"$100,825.00 ",1971,1975,Acquisition
131 - XXX,WILLISTON - RECREATIONAL DEVELOPMENT,TOWN OF WILLISTON,CHITTENDEN,VT,"$5,500.00 ",1971,1982,Development
114 - XXX,BURTON ISLAND STATE PARK,DEPT. OF ENVIRONMENTAL CONSERVATION,FRANKLIN,VT,"$29,348.22 ",1971,1973,Development
133 - XXX,SWANTON RECREATION IMPROVEMENTS,VILLAGE OF SWANTON,FRANKLIN,VT,"$7,350.00 ",1971,1982,Development
117 - XXX,STOWE REC. AREA DEVELOPMENT,TOWN OF STOWE,LAMOILLE,VT,"$11,561.28 ",1971,1973,Development
120 - XXX,CASPIAN LAKE,TOWN OF GREENSBORO,ORLEANS,VT,"$22,500.00 ",1971,1974,Acquisition
107 - XXX,RECREATION PLANNING PROGRAM,DEPT. OF NATURAL RESOURCES,PLANNING,VT,"$52,776.70 ",1971,1974,Planning
113 - XXX,ST. CATHERINE - ANDERSON ACQ.,DEPT. OF NATURAL RESOURCES,RUTLAND,VT,"$63,000.00 ",1971,1972,Acquisition
121 - XXX,TOWN OF FAIR HAVEN,TOWN OF FAIR HAVEN,RUTLAND,VT,"$7,119.00 ",1971,1972,Development
132 - XXX,BIGELOW CARRIS ACQ,"DEPT. OF FORESTS, PARKS & RECREATION",RUTLAND,VT,"$320,250.00 ",1971,1972,Acquisition
104 - XXX,MONTPELIER CITY RECREATION,CITY OF MONTPELIER,WASHINGTON,VT,"$24,160.94 ",1971,1971,Development
